,b_max,a_max,a_min,L_median,maturity
19/05/18 19:19,202.0,163.0,112.0,229.0,MATURE
19/05/18 19:49,203.0,163.0,112.0,229.0,MATURE
19/05/18 20:19,204.0,164.0,113.0,229.0,MATURE
19/05/18 20:49,206.0,165.0,103.0,17.0,MATURE
19/05/18 21:19,205.0,163.0,112.0,229.0,MATURE
19/05/18 21:49,205.0,162.0,113.0,228.0,MATURE
19/05/18 22:19,207.0,165.0,100.0,17.0,MATURE
19/05/18 22:50,204.0,164.0,112.0,229.0,MATURE
19/05/18 23:20,203.0,161.0,112.0,229.0,MATURE
19/05/18 23:50,204.0,162.0,112.0,229.0,MATURE
20/05/18 00:20,203.0,162.0,112.0,228.0,MATURE
20/05/18 00:50,204.0,162.0,112.0,230.0,MATURE
20/05/18 01:20,203.0,163.0,112.0,228.0,MATURE
20/05/18 01:51,203.0,166.0,113.0,229.0,MATURE
20/05/18 02:21,204.0,163.0,112.0,229.0,MATURE
20/05/18 02:51,203.0,163.0,112.0,229.0,MATURE
20/05/18 03:21,205.0,161.0,112.0,228.0,MATURE
20/05/18 03:51,204.0,162.0,112.0,229.0,MATURE
20/05/18 04:21,202.0,164.0,112.0,229.0,MATURE
20/05/18 04:51,204.0,164.0,112.0,229.0,MATURE
20/05/18 05:22,203.0,164.0,113.0,230.0,MATURE
20/05/18 05:52,202.0,161.0,113.0,229.0,MATURE
20/05/18 06:22,202.0,163.0,112.0,229.0,MATURE
20/05/18 06:38,190.0,146.0,96.5,182.5,UNDERMATURE
20/05/18 06:38,189.5,144.0,96.5,181.5,UNDERMATURE
20/05/18 07:08,184.0,146.0,98.5,183.5,UNDERMATURE
20/05/18 06:38,183.5,136.5,98.5,185.5,UNDERMATURE
20/05/18 06:38,181.0,141.0,98.0,185.0,UNDERMATURE
20/05/18 07:08,185.0,143.0,94.5,189.0,UNDERMATURE
20/05/18 07:38,187.0,145.0,93.5,191.0,UNDERMATURE
20/05/18 08:08,188.0,143.5,91.5,190.5,UNDERMATURE
20/05/18 08:39,187.5,143.5,95.5,191.0,UNDERMATURE
20/05/18 09:09,185.5,141.0,92.5,189.5,UNDERMATURE
20/05/18 09:39,186.0,141.0,93.0,188.5,UNDERMATURE
20/05/18 10:09,187.0,142.5,95.5,190.5,UNDERMATURE
20/05/18 10:39,185.5,143.0,96.0,191.0,UNDERMATURE
20/05/18 11:09,186.0,142.0,95.0,189.5,UNDERMATURE
20/05/18 11:39,185.5,144.0,94.5,188.5,UNDERMATURE
20/05/18 12:10,190.0,142.0,96.0,188.5,UNDERMATURE
20/05/18 12:40,188.0,144.5,94.5,190.5,UNDERMATURE
20/05/18 13:10,187.5,141.5,95.0,190.5,UNDERMATURE
20/05/18 13:40,185.0,139.5,93.5,190.5,UNDERMATURE
20/05/18 14:10,185.5,141.0,96.0,189.5,UNDERMATURE
20/05/18 14:40,186.0,141.0,96.5,188.5,UNDERMATURE
20/05/18 15:10,186.0,139.5,92.5,190.0,UNDERMATURE
21/05/18 04:43,187.5,142.0,92.5,190.5,UNDERMATURE
21/05/18 05:13,186.0,154.0,88.0,19.0,UNDERMATURE
21/05/18 05:43,188.5,142.0,95.5,189.5,UNDERMATURE
21/05/18 06:14,186.0,139.5,95.5,190.5,UNDERMATURE
21/05/18 06:44,185.5,141.5,96.0,189.5,UNDERMATURE
21/05/18 07:14,184.5,143.5,95.0,190.5,UNDERMATURE
21/05/18 07:44,188.0,153.0,89.0,20.0,UNDERMATURE
21/05/18 08:14,186.5,139.5,93.0,189.0,UNDERMATURE
21/05/18 08:44,185.5,141.0,92.5,190.5,UNDERMATURE
21/05/18 09:15,184.0,140.0,94.0,190.5,UNDERMATURE
21/05/18 09:45,186.0,138.5,92.0,189.0,UNDERMATURE
21/05/18 10:15,187.0,140.0,93.0,190.5,UNDERMATURE
21/05/18 10:45,187.0,141.5,95.5,190.5,UNDERMATURE
21/05/18 11:15,180.0,144.0,95.5,183.5,UNDERMATURE
21/05/18 11:45,183.0,143.5,92.5,179.0,UNDERMATURE
21/05/18 12:15,188.5,146.0,95.0,186.5,UNDERMATURE
21/05/18 12:46,186.5,144.0,94.5,191.5,UNDERMATURE
21/05/18 13:16,190.5,146.0,96.5,189.5,UNDERMATURE
21/05/18 13:46,187.5,146.0,94.0,191.0,UNDERMATURE
21/05/18 14:16,183.0,145.0,96.5,182.5,UNDERMATURE
21/05/18 14:46,186.5,143.5,99.0,184.0,UNDERMATURE
21/05/18 15:16,188.5,143.5,98.0,185.0,UNDERMATURE
21/05/18 15:47,189.0,143.5,95.5,185.5,UNDERMATURE
21/05/18 16:17,189.5,145.0,93.5,187.5,UNDERMATURE
21/05/18 16:47,187.5,145.5,97.0,186.5,UNDERMATURE
21/05/18 17:17,188.5,145.0,94.5,187.5,UNDERMATURE
21/05/18 17:47,189.0,143.5,95.5,187.5,UNDERMATURE
21/05/18 18:17,188.5,145.5,96.0,186.5,UNDERMATURE
21/05/18 18:47,189.0,146.0,98.0,187.5,UNDERMATURE
21/05/18 19:18,189.5,142.5,96.0,187.5,UNDERMATURE
21/05/18 19:48,188.5,145.5,94.5,187.5,UNDERMATURE
21/05/18 20:18,189.5,144.5,96.5,187.0,UNDERMATURE
21/05/18 20:48,189.5,144.0,94.5,188.5,UNDERMATURE
21/05/18 21:18,192.0,145.0,95.0,187.5,UNDERMATURE
21/05/18 21:48,189.5,143.5,96.0,187.5,UNDERMATURE
21/05/18 22:19,190.5,141.5,95.5,187.5,UNDERMATURE
21/05/18 22:49,189.5,145.0,97.5,187.5,UNDERMATURE
21/05/18 23:19,190.5,143.0,97.0,187.0,UNDERMATURE
21/05/18 23:49,188.5,142.5,94.0,187.5,UNDERMATURE
22/05/18 00:19,191.5,144.5,97.5,188.0,UNDERMATURE
22/05/18 00:49,189.0,142.5,95.5,187.5,UNDERMATURE
22/05/18 01:20,191.5,143.5,97.0,188.0,UNDERMATURE
22/05/18 01:50,189.5,144.0,95.0,187.0,UNDERMATURE
22/05/18 02:20,191.0,145.0,97.0,188.0,UNDERMATURE
22/05/18 02:50,193.0,141.0,97.0,186.5,UNDERMATURE
22/05/18 03:20,189.5,142.0,97.5,188.0,UNDERMATURE
22/05/18 03:50,191.0,144.0,97.0,188.0,UNDERMATURE
22/05/18 04:20,190.5,144.5,95.5,188.0,UNDERMATURE
22/05/18 04:51,191.0,142.0,97.0,188.0,UNDERMATURE
22/05/18 05:21,191.5,145.0,96.0,187.0,UNDERMATURE
22/05/18 05:51,191.5,144.5,95.5,188.0,UNDERMATURE
22/05/18 06:21,192.0,140.0,96.5,187.5,UNDERMATURE
22/05/18 06:51,193.0,144.5,97.5,188.5,UNDERMATURE
22/05/18 07:21,190.5,140.5,96.5,189.0,UNDERMATURE
22/05/18 07:52,193.0,142.5,96.0,188.0,UNDERMATURE
22/05/18 08:22,183.0,147.0,99.5,183.0,UNDERMATURE
22/05/18 08:52,189.5,144.0,100.0,185.0,UNDERMATURE
22/05/18 09:22,186.5,145.5,99.0,186.0,UNDERMATURE
22/05/18 09:52,188.5,147.0,98.0,190.0,UNDERMATURE
22/05/18 10:22,189.0,147.5,99.0,188.5,UNDERMATURE
22/05/18 10:53,187.0,149.0,99.0,188.5,UNDERMATURE
22/05/18 11:23,189.5,144.0,98.5,188.5,UNDERMATURE
22/05/18 11:53,190.0,150.0,99.5,187.5,UNDERMATURE
22/05/18 12:23,194.5,145.0,98.0,188.5,UNDERMATURE
22/05/18 12:53,187.5,145.5,97.0,188.5,UNDERMATURE
22/05/18 13:23,187.0,147.0,99.0,190.0,UNDERMATURE
22/05/18 13:53,188.5,149.0,98.5,189.5,UNDERMATURE
22/05/18 14:24,189.0,142.0,100.0,188.0,UNDERMATURE
22/05/18 14:54,190.5,145.5,96.0,189.0,UNDERMATURE
22/05/18 15:24,190.0,146.0,98.0,189.0,UNDERMATURE
22/05/18 15:54,189.0,149.0,100.0,189.0,UNDERMATURE
22/05/18 16:24,181.5,145.5,101.5,183.0,UNDERMATURE
22/05/18 16:54,184.0,144.5,99.0,183.0,UNDERMATURE
22/05/18 17:25,189.0,149.5,99.0,192.0,UNDERMATURE
22/05/18 17:55,189.5,147.5,100.0,190.5,UNDERMATURE
22/05/18 18:25,191.0,146.5,102.0,190.5,UNDERMATURE
22/05/18 18:55,188.5,147.5,102.0,191.0,UNDERMATURE
22/05/18 19:25,190.5,150.5,100.5,191.0,UNDERMATURE
22/05/18 19:55,190.0,148.5,99.0,190.5,UNDERMATURE
22/05/18 20:25,192.0,149.0,100.0,192.0,UNDERMATURE
22/05/18 20:56,193.5,148.0,97.5,189.5,UNDERMATURE
22/05/18 21:26,188.0,148.5,100.0,189.5,UNDERMATURE
22/05/18 21:56,190.5,148.0,102.0,191.5,UNDERMATURE
22/05/18 22:26,193.5,146.5,101.0,191.0,UNDERMATURE
22/05/18 22:56,191.5,146.5,100.5,192.0,UNDERMATURE
22/05/18 23:26,191.5,148.5,100.5,191.0,UNDERMATURE
22/05/18 23:57,189.5,151.0,100.5,191.5,UNDERMATURE
23/05/18 00:27,191.5,145.0,99.5,190.0,UNDERMATURE
23/05/18 00:57,189.5,151.0,100.5,192.5,UNDERMATURE
23/05/18 01:27,191.5,148.5,99.5,191.0,UNDERMATURE
23/05/18 01:57,190.0,152.0,100.5,192.5,UNDERMATURE
23/05/18 02:27,192.0,146.0,100.0,189.5,UNDERMATURE
23/05/18 02:57,192.0,150.0,101.0,192.0,UNDERMATURE
23/05/18 03:28,191.0,144.5,101.0,190.0,UNDERMATURE
23/05/18 03:58,190.0,149.5,100.5,192.5,UNDERMATURE
23/05/18 04:28,190.5,147.0,101.0,191.5,UNDERMATURE
23/05/18 04:58,190.0,146.0,101.0,193.0,UNDERMATURE
23/05/18 05:28,192.5,146.0,100.5,191.5,UNDERMATURE
23/05/18 05:58,193.0,153.0,101.5,193.0,UNDERMATURE
23/05/18 06:29,194.5,148.0,99.5,191.5,UNDERMATURE
23/05/18 06:59,191.0,149.0,100.5,193.0,UNDERMATURE
23/05/18 07:29,194.0,145.0,99.5,192.0,UNDERMATURE
23/05/18 07:59,183.5,146.5,101.0,187.0,UNDERMATURE
23/05/18 08:29,190.0,145.5,102.5,189.0,UNDERMATURE
23/05/18 08:59,192.5,148.5,100.0,189.5,UNDERMATURE
23/05/18 09:29,194.5,144.5,99.5,192.0,UNDERMATURE
23/05/18 10:00,191.5,147.0,102.5,194.0,UNDERMATURE
23/05/18 10:30,192.0,146.5,102.5,192.5,UNDERMATURE
23/05/18 11:00,192.0,146.5,100.0,194.0,UNDERMATURE
23/05/18 11:30,194.5,146.0,101.5,191.5,UNDERMATURE
